country;contract_name;name;company;count
France;Paris;00906 - GARE DE L'EST;Velib;2820
France;Paris;05107 - PONTOISE;Velib;2820
France;Paris;15060 - MONDRIAN;Velib;2820
France;Paris;19045 - CANAL SAINT DENIS - BD MACDONALD;Velib;2820
France;Toulouse;00233 - NARBONNE /SAHUQUE;Vélô;2818
Spain;Valence;076_CAMPOAMOR II;Valenbisi;2818
Spain;Valence;141_C/ GREGORIO GEA (PEATONAL);Valenbisi;2818
Spain;Valence;110_KISSHOMARU;Valenbisi;2818
Spain;Valence;206_CALLE_PERIODISTA_GIL_SUMBIELA;Valenbisi;2818
France;Besancon;14 - JACOBINS;VéloCité;2827
Belgium;Bruxelles-Capitale;306 - HEMBEEK;villo;2826
Belgium;Bruxelles-Capitale;113 - ABBAYE DE LA CAMBRE / ABDIJ TER KAMEREN;villo;2826
Belgium;Bruxelles-Capitale;303 - VIEUX TILLEUL;villo;2826
France;Cergy-Pontoise;53004 - PON04 - LA PALETTE;Velo2;2825
France;Lyon;2037 - PLACE DES ARCHIVES;Vélo'V;2823
France;Lyon;11002 - SAINT CLAIR;Vélo'V;2823
France;Mulhouse;26 - GOERICH;VéloCité;2823
Belgium;Namur;010 - ARTHUR MASSON;Li bia velo;2823
France;Nantes;00086-HAUTS PAVÉS;Bicloo;2823
France;Paris;14009 - COTY TOMBE D'ISSOIRE;Velib;2820
France;Paris;11035 - GONCOURT;Velib;2820
France;Paris;16023 - RUE DE PASSY;Velib;2820
France;Paris;16008 - GALILEE KLEBER;Velib;2820
France;Paris;10037 - VERSION 2 JAURES;Velib;2820
France;Paris;33011 - FAURE (AUBERVILLIERS);Velib;2820
France;Toulouse;00152 - MAZADES;Vélô;1979
Belgium;Bruxelles-Capitale;105 - DE HENNIN;villo;2826
Belgium;Bruxelles-Capitale;206 - SAINT-GUIDON / SINT GUIDO;villo;2826
France;Creteil;08 - ROND POINT HOTEL DE VILLE;Cristolib;2823
IRELAND;Dublin;NEWMAN HOUSE;dublinbikes;2823
Norway;Lillestrom;ÅRÅSEN;Bysykkel;2823
France;Nantes;00087-ANATOLE FRANCE;Bicloo;2823
France;Paris;14013 - LIART AMIRAL MOUCHEZ;Velib;2820
France;Paris;10029 - PLACE DE ROUBAIX;Velib;2820
France;Paris;16043 - PLACE DE PASSY;Velib;2820
France;Paris;06026 - SAINT PLACIDE CHERCHE MIDI;Velib;2820
France;Rouen;01 - THEATRE DES ARTS;cy'clic;2819
